sl. no.,item category,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,A & N Island,Chandigarh,Dadra & Nagar Haveli and Daman & Diu,Jammu & Kashmir,Ladakh,Lakshadweep,Puducherry,All-India
19.,other household consumables,158.25,158.82,114.40,101.53,102.44,155.38,219.89,144.53,160.88,134.37,101.01,168.71,109.29,120.78,133.64,80.01,142.00,130.91,155.17,107.23,129.01,122.04,296.19,187.20,155.68,160.93,113.45,124.44,104.93,167.89,276.71,146.28,125.33,110.56,110.93,187.64,136.38
20.,education,383.92,285.16,166.41,259.85,219.45,397.38,205.11,351.81,492.24,640.43,310.74,584.58,288.93,328.84,419.06,314.78,390.21,192.70,336.21,224.58,372.90,406.06,319.92,402.62,504.00,378.78,303.35,429.61,257.71,371.88,718.38,126.73,375.35,214.31,33.16,487.11,373.50
21.,medical (hospitalization),146.13,44.02,74.47,78.23,58.64,56.30,160.76,155.28,75.47,140.83,132.22,133.34,241.51,65.45,184.24,43.76,32.98,41.64,33.16,61.58,180.66,68.37,21.20,160.14,99.63,126.68,86.19,160.91,82.82,126.42,16.37,51.73,78.29,45.36,212.73,79.50,123.30
22.,medical (non- hospitalization),353.69,197.20,166.83,198.89,199.22,233.12,299.63,195.55,239.56,263.53,174.50,228.23,410.74,211.85,260.75,129.51,117.02,161.98,136.77,221.41,311.08,199.22,202.84,295.20,222.13,462.33,234.92,263.35,354.93,206.98,418.35,116.75,260.91,100.54,165.91,256.58,258.38
23.,conveyance,567.67,696.95,471.84,277.56,436.40,667.45,923.69,604.26,633.58,588.38,399.74,663.53,750.75,456.67,564.25,589.46,495.09,460.42,488.72,436.92,596.09,558.05,613.79,762.28,743.25,471.16,389.69,626.13,274.84,892.02,"1,146.07",344.32,549.90,436.14,386.03,892.40,555.05
24.,consumer services excluding conveyance&,376.31,381.82,312.38,245.02,247.24,522.56,381.98,374.80,445.86,485.04,262.31,480.85,472.74,271.11,433.95,272.14,375.89,430.91,340.52,242.10,380.91,345.19,628.51,395.60,520.93,295.66,291.90,428.41,322.74,462.14,"1,290.77",296.12,389.06,333.74,208.21,472.15,382.25
25.,entertainment,117.38,117.87,108.15,58.77,69.38,147.72,119.13,118.29,108.02,77.27,66.60,134.80,117.34,74.24,98.46,75.67,103.00,118.14,107.29,73.18,72.25,60.03,222.24,132.54,165.56,115.30,74.10,127.27,83.11,129.10,208.65,57.05,67.94,54.55,47.04,113.56,102.13
26.,rent,557.83,680.93,255.28,170.45,144.40,531.74,467.60,279.56,561.13,727.73,222.68,871.73,275.97,199.40,554.48,38.86,479.82,509.23,410.73,353.21,181.27,257.34,"1,286.57",773.80,879.02,202.47,164.01,284.85,120.80,941.55,"1,019.03",786.53,172.08,182.91,171.26,572.40,423.46
27.,other taxes & cesses,22.05,26.28,17.72,5.28,23.26,0.33,8.91,30.02,0.51,2.07,7.58,29.15,18.24,9.50,33.73,13.17,14.88,24.23,5.61,9.46,1.56,0.58,21.08,10.55,19.44,8.90,8.08,1.71,8.38,32.51,-,9.68,0.81,0.10,3.99,21.85,15.50
28.,clothing & bedding$,306.93,397.45,284.36,232.34,233.47,381.39,322.19,314.63,390.29,483.12,248.26,286.39,281.24,241.26,300.10,221.86,339.35,320.37,513.50,290.10,366.29,315.54,639.62,298.73,405.09,412.37,247.43,371.40,274.38,456.76,839.90,370.81,378.98,246.73,242.99,306.80,300.96
29.,footwear,42.23,75.76,43.96,35.11,35.15,64.65,51.85,51.81,79.39,116.48,41.58,51.91,44.81,45.98,53.35,49.50,87.75,123.37,141.28,39.88,71.02,54.70,199.77,39.80,49.88,78.35,45.89,76.61,37.24,66.59,150.71,49.30,69.41,69.19,43.76,48.89,49.84
30.,durable goods,459.33,645.20,357.89,308.17,291.90,851.83,635.09,467.54,584.11,497.10,330.62,477.71,848.55,371.17,416.84,284.62,316.89,897.70,465.69,411.26,437.21,479.28,631.98,530.98,633.53,443.64,332.68,590.08,288.89,"1,047.13",851.43,294.04,430.18,291.92,408.63,545.91,465.17
31.,non-food: total (16-30),"4,173.03","4,832.53","3,276.47","2,509.62","2,724.82","5,052.19","4,623.84","3,842.10","4,762.54","5,014.49","2,877.17","4,871.49","4,532.53","3,058.93","4,178.72","2,807.70","3,793.54","4,499.71","4,062.34","3,118.44","3,953.49","3,571.58","6,450.54","4,728.48","5,269.81","4,224.14","2,995.49","4,425.60","2,925.47","6,214.14","8,317.44","3,516.93","3,615.20","2,817.41","2,636.26","4,835.01","3,932.47"
32.,total expenditure (15+31),"6,876.69","8,648.51","6,209.88","4,818.84","4,556.96","8,249.95","8,760.90","6,630.43","7,947.98","8,083.31","4,946.41","7,781.24","7,102.05","5,010.73","6,683.32","4,902.47","6,450.16","7,663.83","7,159.12","5,222.51","6,577.35","5,970.28","12,124.85","7,742.02","8,250.85","7,473.24","5,104.36","7,034.50","5,426.03","10,268.15","12,576.80","6,306.22","6,199.93","6,227.14","5,511.21","7,740.82","6,521.28"
