sl. no.,item category,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,A & N Island,Chandigarh,Dadra & Nagar Haveli and Daman & Diu,Jammu & Kashmir,Ladakh,Lakshadweep,Puducherry,All-India
1.,cereal,4.13,4.21,5.20,7.04,3.51,3.17,3.58,4.59,3.13,3.60,7.16,4.35,2.96,4.85,4.30,6.19,4.22,2.41,5.22,6.17,2.83,4.14,2.40,4.02,4.92,3.67,4.72,4.33,6.64,3.49,2.85,4.80,4.75,2.80,2.69,3.73,4.89
2.,cereal substitutes,-,0.00,0.00,0.00,0.00,-,-,0.01,0.00,0.00,-,0.00,0.15,0.05,0.15,-,-,-,0.03,0.00,0.00,0.00,0.03,0.01,0.00,-,0.00,0.00,-,-,-,-,0.00,-,-,-,0.02
3.,gram,0.11,0.10,0.09,0.28,0.33,0.29,0.34,0.40,0.29,0.29,0.37,0.26,0.23,0.34,0.24,0.13,0.04,0.01,0.03,0.18,0.37,0.19,0.13,0.15,0.08,0.03,0.33,0.34,0.17,0.15,0.23,0.36,0.12,0.07,0.43,0.15,0.24
4.,pulses and pulse products*,1.74,0.83,1.61,2.02,3.15,1.35,1.13,1.67,1.00,1.82,2.01,1.93,1.26,2.38,1.93,0.73,0.84,0.67,0.80,2.66,1.29,0.82,0.99,1.50,1.37,0.90,2.07,2.28,1.50,1.67,1.08,2.30,1.59,1.14,1.43,1.58,1.77
5.,sugar,0.47,0.29,0.50,0.72,0.88,0.73,0.47,0.97,1.01,0.76,0.55,0.83,0.57,1.21,1.10,0.28,0.55,0.29,0.32,0.71,1.04,1.15,0.40,0.36,0.38,0.27,1.04,1.03,0.67,0.54,0.54,0.51,0.68,0.36,1.08,0.36,0.82
6.,salt,0.10,0.07,0.11,0.14,0.06,0.09,0.06,0.07,0.09,0.05,0.12,0.09,0.05,0.07,0.11,0.09,0.11,0.12,0.09,0.15,0.09,0.10,0.04,0.07,0.10,0.08,0.12,0.11,0.17,0.07,0.05,0.12,0.16,0.13,0.10,0.06,0.11
7.,milk and milk products,6.28,3.78,4.36,9.15,3.44,12.37,5.69,12.54,19.21,11.31,5.33,5.32,3.79,9.73,5.66,3.22,3.38,2.82,3.71,3.27,14.72,15.50,8.53,4.69,5.55,4.46,10.56,9.21,3.78,4.00,13.37,7.21,11.23,12.81,3.00,4.94,8.33
8.,vegetables,4.66,6.87,7.36,6.34,8.59,4.33,4.06,5.87,5.63,4.88,6.06,5.02,3.37,5.23,4.59,5.39,8.05,7.22,6.68,7.38,4.60,3.81,5.55,4.61,4.39,6.56,5.44,4.76,6.41,5.69,3.24,6.71,4.60,5.28,3.72,3.42,5.38
9.,fruits (fresh),2.99,2.91,3.19,2.74,2.51,2.38,4.20,2.28,1.97,2.37,2.19,3.17,3.66,2.46,2.22,2.70,2.94,2.66,2.66,2.72,2.15,1.82,2.09,2.90,2.59,3.56,2.19,2.25,2.74,2.81,2.69,2.49,2.45,3.13,4.49,3.17,2.54
10.,fruits (dry),1.53,1.09,1.04,1.27,0.72,1.19,1.22,0.84,0.98,1.15,0.78,1.36,0.75,0.98,1.93,0.72,0.47,0.87,0.37,0.45,0.96,1.14,1.22,0.97,0.94,1.13,1.40,1.43,0.75,0.81,0.55,0.44,1.36,2.17,1.97,1.50,1.17
11.,"egg, fish & meat",6.52,9.84,10.83,5.99,4.16,1.58,9.23,1.25,0.97,2.43,6.72,5.06,9.21,2.29,3.67,11.93,12.60,11.71,14.85,6.33,1.26,1.15,7.18,6.12,6.69,12.60,3.12,2.84,9.65,8.69,2.60,3.88,5.11,7.90,10.43,4.84,4.91
12.,edible oil,3.05,2.02,3.85,4.73,5.06,2.54,1.54,4.97,1.72,2.38,4.15,2.98,1.96,4.16,3.81,2.59,2.72,2.75,1.67,3.90,2.37,2.52,2.32,1.83,2.94,2.79,4.17,2.96,4.60,2.33,2.70,4.24,3.32,2.56,2.09,2.79,3.59
13.,spices,3.13,1.74,2.77,3.08,3.55,2.30,2.46,3.45,3.37,1.78,3.12,3.15,2.87,3.10,3.03,2.62,1.61,1.94,2.05,3.23,1.89,2.86,2.35,2.98,2.60,2.92,2.97,2.64,3.23,2.58,1.89,2.97,2.61,2.85,3.27,2.37,2.98
14.,"beverages, processed food#, etc.",9.43,17.07,13.35,10.03,9.71,7.92,14.10,10.25,6.65,10.56,9.82,11.41,8.28,8.36,8.15,10.20,10.66,14.35,9.68,11.03,8.86,8.51,17.39,11.96,9.82,9.97,8.52,8.91,10.79,12.17,8.85,11.31,10.68,17.94,12.34,11.19,9.62
15.,food: total (1-14),44.13,50.80,54.26,53.55,45.65,40.22,48.08,49.16,46.02,43.39,48.38,44.93,39.10,45.19,40.89,46.79,48.17,47.82,48.17,48.16,42.42,43.72,50.63,42.17,42.37,48.96,46.66,43.09,51.11,45.01,40.64,47.34,48.65,59.16,47.04,40.09,46.38
16.,"pan, tobacco & intoxicants",3.87,8.11,5.90,2.83,6.22,5.38,1.52,3.20,3.04,3.00,3.63,4.41,1.88,5.90,2.24,5.65,8.29,6.90,3.94,4.27,2.14,3.75,6.47,4.03,7.78,5.97,3.37,5.87,3.45,9.08,6.07,3.72,2.35,3.11,3.28,2.94,3.79
17.,fuel and light,5.78,5.06,6.98,6.48,8.77,7.86,5.20,7.09,6.87,6.21,7.10,5.83,6.05,5.51,7.07,6.46,5.70,7.21,6.12,8.83,8.42,6.80,3.95,5.31,4.72,6.33,7.02,6.40,7.96,4.92,5.81,7.79,6.42,6.62,7.75,5.26,6.66
18.,toilet articles,2.72,3.09,3.00,2.84,3.69,3.88,3.04,2.51,2.47,3.69,2.68,2.58,1.99,3.09,2.60,3.56,2.95,3.71,3.97,3.13,3.15,2.50,2.71,2.59,2.52,2.92,2.95,2.81,3.02,3.01,3.14,3.01,2.42,2.31,2.68,2.95,2.79
19.,other household consumables,2.83,2.07,2.03,2.24,2.60,2.05,2.81,2.11,2.12,2.23,2.41,2.75,1.64,2.80,2.27,1.90,2.44,2.19,2.58,2.22,2.04,2.23,2.80,2.83,2.23,1.99,2.41,2.02,2.04,2.09,2.45,2.06,2.11,1.80,2.09,2.24,2.33
20.,education,2.96,1.68,1.77,2.97,1.50,4.21,1.54,1.95,5.68,5.27,3.03,2.82,2.81,2.85,3.53,4.98,3.88,1.73,3.24,2.37,4.63,4.38,2.14,3.52,3.42,4.06,3.61,4.32,3.00,1.58,2.13,1.48,4.45,2.27,0.34,9.49,3.30
21.,medical (hospitalization),2.61,0.29,1.12,1.79,1.24,0.27,0.93,2.65,2.67,1.54,2.14,3.19,4.33,1.78,4.02,0.73,0.34,0.39,0.30,1.53,3.25,1.63,0.40,2.61,2.15,1.45,2.65,2.10,1.58,1.57,0.08,0.47,1.05,0.33,0.81,1.67,2.36
22.,medical (non- hospitalization),6.69,1.83,2.66,4.60,4.02,1.92,3.72,3.35,4.05,4.48,4.38,3.65,6.57,4.65,4.65,2.27,1.80,2.79,2.37,5.32,5.24,4.04,2.33,4.08,3.81,4.96,5.60,3.62,6.65,0.95,3.46,1.88,5.20,1.89,1.09,2.99,4.77
23.,conveyance,8.41,7.15,5.90,4.66,8.13,10.42,12.17,8.44,7.58,7.35,6.64,8.61,11.52,8.37,9.44,9.95,7.10,4.56,6.22,6.45,9.36,8.84,5.10,10.42,8.66,5.65,6.64,7.14,4.10,7.01,7.83,8.09,7.63,6.59,9.23,11.42,7.55
24.,consumer services excluding conveyance&,4.62,3.93,4.26,4.68,4.65,4.54,5.80,4.77,4.89,5.81,5.30,5.23,5.72,5.09,6.05,4.34,5.36,4.94,4.46,3.97,5.20,5.85,6.06,5.14,5.30,3.63,5.30,5.81,3.92,4.31,4.79,4.80,5.48,5.09,6.10,4.89,5.08
25.,entertainment,1.83,1.14,1.03,1.07,0.71,2.15,1.82,1.13,0.85,0.72,0.71,1.56,1.51,0.80,1.14,1.22,1.12,1.39,1.13,1.18,0.82,0.49,1.56,1.56,1.72,1.35,0.80,1.16,1.25,1.23,1.30,0.75,0.48,0.61,1.16,1.36,1.09
26.,rent,1.11,0.72,0.38,0.39,0.48,3.14,2.00,0.59,0.38,1.17,0.17,0.96,1.00,0.22,2.44,0.70,0.31,2.50,0.61,0.25,0.73,0.92,1.97,1.61,0.70,0.50,0.23,0.60,0.28,2.88,9.97,6.37,0.61,0.01,2.22,4.58,0.78
27.,other taxes & cesses,0.21,0.16,0.17,0.08,0.13,0.00,0.11,0.22,0.00,0.01,0.09,0.32,0.17,0.07,0.43,0.19,0.18,0.25,0.08,0.10,0.01,0.02,0.18,0.14,0.24,0.05,0.01,0.02,0.08,0.08,-,0.16,0.00,-,0.07,0.28,0.13
28.,clothing & bedding$,4.47,5.58,5.16,5.02,5.65,4.15,3.43,5.34,4.95,5.96,5.54,4.37,3.96,5.84,5.35,4.29,6.14,3.70,8.01,6.12,6.36,5.54,5.16,4.77,5.32,5.38,5.31,6.10,5.53,4.96,6.34,5.74,5.76,4.36,5.87,3.90,5.24
29.,footwear,0.61,1.02,0.72,0.73,0.84,0.68,0.75,0.85,1.07,1.52,0.87,0.75,0.68,1.18,0.90,0.97,1.56,1.50,2.22,0.70,1.29,1.01,1.71,0.60,0.60,1.11,0.95,1.15,0.73,0.78,1.22,0.86,1.17,1.17,1.12,0.60,0.86
30.,durable goods,7.15,7.39,4.65,6.06,5.72,9.14,7.08,6.65,7.37,7.64,6.94,8.05,11.06,6.67,6.97,6.01,4.66,8.42,6.57,5.38,4.95,8.29,6.84,8.61,8.46,5.68,6.48,7.77,5.31,10.52,4.77,5.49,6.22,4.68,9.17,5.36,6.89
31.,non-food: total (16-30),55.87,49.20,45.74,46.45,54.35,59.78,51.92,50.84,53.98,56.61,51.62,55.07,60.90,54.81,59.11,53.21,51.83,52.18,51.83,51.84,57.58,56.28,49.37,57.83,57.63,51.04,53.34,56.91,48.89,54.99,59.36,52.66,51.35,40.84,52.96,59.91,53.62
32.,total expenditure (15+31),100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
