Table 9.1: Physical Asset Accounts for Energy: 2023-24(P)
Unit: Million tonnes Million tonnes Million BBL MMSCM | Publication pages: 117

Item,Coal (Proved Category),Types of Energy Resource Lignite (Proved Category),Types of Energy Resource Crude Oil (2P Reserve),Natural Gas (2P Reserve)
Opening stock of mineral and energy resources,110776,2138,3295,650626
Additions in stock: Discoveries,12303,453,104,35600
Upward appraisals TOTAL ADDITION TO THE STOCK,12303,453,104,35600
Reduction in Stock: Extraction,998,41,215,36438
Sterilization Loss,3693,142,,
Downwards reappraisals,,,0,6387
TOTAL REDUCTION IN STOCK,4691,183,216,42825
,118388,2408,3183,643401

Note: (Closing for last FY)
Note: Closing Stock of mineral and energy resources
"Note: Source: Geological Survey of India, Ministry of Petroleum and Natural Gas"
Note: Sterilization Loss for Coal = Extraction*3.7
Note: Sterilization Loss for Lignite = Extraction*3.46
Note: 2P is the sum of proved and probable reserves.
Note: 9.4 Physical Supply and Use Table for Energy
Note: ‘Physical Supply and Use Tables for Energy’ aims at comprehensiveness that entails recording
"Note: all energy flows both within the economy, between the economy and the environment. These"
"Note: accounts along with the Asset accounts, provide necessary granular level information to help"
Note: identifying the policy concern areas.
"Note: In the chapter, the PSUT for Energy has been compiled following the structure of SEEA-"
