State/UT/All-India,rice,wheat,coarse grains,other cereals,total cereals
Andhra Pradesh,8.578,0.494,0.209,0.021,9.302
Arunachal Pradesh,9.524,0.168,0.011,0.009,9.713
Assam,9.011,0.377,0.000,0.005,9.393
Bihar,6.281,4.824,0.032,0.003,11.139
Chhattisgarh,9.474,0.795,0.001,0.001,10.271
Delhi,1.525,4.126,0.009,0.004,5.664
Goa,7.012,2.204,0.044,0.045,9.305
Gujarat,2.602,4.225,1.382,0.073,8.281
Haryana,0.803,7.282,0.121,0.017,8.223
Himachal Pradesh,3.482,5.508,0.226,0.039,9.255
Jharkhand,6.786,3.111,0.025,0.004,9.927
Karnataka,5.939,1.256,1.750,0.060,9.005
Kerala,5.817,0.740,0.007,0.032,6.595
Madhya Pradesh,2.648,6.777,0.238,0.012,9.675
Maharashtra,3.023,4.223,1.023,0.037,8.307
Manipur,11.201,0.022,0.003,0.004,11.229
Meghalaya,8.527,0.147,0.000,-,8.675
Mizoram,9.302,0.052,-,0.000,9.354
Nagaland,9.660,0.061,0.025,0.061,9.808
Odisha,10.186,0.944,0.057,0.026,11.213
Punjab,0.875,6.605,0.045,0.020,7.545
Rajasthan,0.336,8.941,1.215,0.056,10.547
Sikkim,7.065,0.699,0.029,0.029,7.822
Tamil Nadu,7.103,0.564,0.117,0.045,7.830
Telangana,9.305,0.505,0.256,0.042,10.108
Tripura,10.753,0.440,-,0.000,11.193
Uttar Pradesh,3.751,5.611,0.013,0.006,9.381
Uttarakhand,4.045,4.838,0.049,0.015,8.947
West Bengal,9.181,2.048,0.000,0.000,11.230
Andaman & N. Island,6.366,1.460,0.002,0.000,7.828
Chandigarh,0.942,5.261,0.003,0.005,6.212
Dadra & Nagar Haveli and Daman & Diu,4.766,2.748,0.354,0.009,7.877
Jammu & Kashmir,6.126,3.662,0.335,0.006,10.130
Ladakh,6.031,2.907,0.021,0.033,8.992
Lakshadweep,6.630,0.795,0.005,0.000,7.430
Puducherry,6.042,0.530,0.070,0.002,6.644
All-India,5.321,3.935,0.335,0.021,9.613
