Sector,Monthly per capita cereal consumption (kg) in | 1999 -’00,Monthly per capita cereal consumption (kg) in | 2004-05,Monthly per capita cereal consumption (kg) in | 2009-10,Monthly per capita cereal consumption (kg) in | 2011-12,Monthly per capita cereal consumption (kg) in | 2022-23
Rural,12.72,12.12,11.35,11.23,9.61
Urban,10.42,9.94,9.39,9.32,8.05
